番号,英文 (English Sentence),日本語文 (Japanese Translation)
1,The factory turns out 800 motorcycles a month.,その工場は月に800台のオートバイを生産しています。
2,Would you please turn down the TV a little?,テレビの音を少し下げていただけますか？
3,It is impossible for me to finish the work in a day.,私がその仕事を一日で終えるのは不可能です。
4,I need to find out exactly what went wrong.,何が間違っていたのか正確に突き止める必要があります。
5,It is impossible to exaggerate the importance of education.,教育の重要性はいくら強調してもしすぎることはありません。
6,These shoes are expensive and what is more they are too small.,この靴は高価ですし、その上サイズが小さすぎます。
7,The other girls are jealous of Lily because she is extremely pretty.,リリーは非常にきれいなので、他の女の子たちは彼女をねたんでいます。
8,This book is too difficult for me to understand.,この本は私には難しすぎて理解できません。
9,I like to talk about the good old days.,私は古き良き時代について話すのが好きです。
10,It's a strange story but every word of it is true.,奇妙な話ですが、一語一句すべて真実です。
11,There ought to be more buses during the rush hours.,ラッシュ時にはもっとバスがあるべきです。
12,This is the same pencil that I lost the other day.,これは私が先日なくしたのと同じ鉛筆です。
13,Kate thought the teacher's lecture was dull boring and endless.,ケイトは先生の講義が退屈で、つまらなく、終わりのないものだと感じました。
14,I would often visit the museum when I lived in London.,ロンドンに住んでいた頃、私はよくその美術館を訪れたものでした。
15,Jack is the most intelligent boy in the class.,ジャックはクラスで最も知的な少年です。
16,The singer is famous not only in Korea but also in Europe.,その歌手は韓国だけでなくヨーロッパでも有名です。
17,Mike and I had a hamburger this afternoon and we talk.,マイクと私は今日の午後ハンバーガーを食べながら話をしました。
18,They deal in fruit and vegetables at that store.,あの店では果物と野菜を扱っています。
19,Because the surroundings were so dark he could not see anything.,周囲がとても暗かったので、彼は何も見ることができませんでした。
20,We can know the past but the future we can only feel.,私たちは過去を知ることはできるが、未来はただ感じるしかない。
21,Sally has been on a diet since last month.,サリーは先月からダイエットを続けています。
22,If you're drunk don't take the wheel of a car.,酔っているなら、車のハンドルを握ってはいけません。
23,Some birds are sitting on the branch of that tree.,何羽かの鳥があの木の枝に止まっています。
24,However fast you may walk you can't catch up with him.,どんなに速く歩いても、彼には追いつけません。
25,You do such a thing once too often and get punished.,そんなことを何度も繰り返していると、罰を受けますよ。
26,My uncle brought a new TV set for us.,おじが私たちのために新しいテレビを持ってきてくれました。
27,I think my living with you has influenced your way of living.,私があなたと一緒に住んでいることが、あなたの生き方に影響を与えたと思います。
28,The writer is bringing out a new book next month.,その作家は来月、新刊を出します。
29,I never see this picture without thinking of my father.,この写真を見ると必ず父のことを思い出します。
30,This English book is too difficult for me to read.,この英語の本は私には難しすぎて読めません。
31,It is outrageous that you should spend so much money.,あなたがそんなに多くのお金を使うなんて、とんでもないことです。
32,It is not possible to record in this media.,このメディアには記録することができません。
33,That teacher is in charge of the third year class.,あの先生は3年生のクラスを担当しています。
34,Someday you will come to realize the importance of saving.,いつかあなたも貯金の重要性に気づく時が来るでしょう。
35,There are footprints of a cat on the table.,テーブルの上に猫の足跡があります。
36,There was a man and a woman sitting behind me.,私の後ろに男女が座っていました。
37,I was caught in the rain and got wet.,雨に降られて濡れてしまいました。
38,I hope I can manage to make both ends meet.,何とか収支を合わせられる（やりくりできる）といいのですが。
39,Our company needs someone who is at home in advanced technology.,我が社は先端技術に精通した人材を必要としています。
40,Once you have a plan you should keep to it.,一度計画を立てたら、それを守るべきです。
41,Forks and chopsticks became popular because they could easily handle hot food.,フォークや箸は、熱い食べ物を簡単に扱えるため普及しました。
42,And just think you're on the other side of the world.,考えてもみてください、あなたは世界の反対側にいるのですよ。
43,The burglar tied my hands behind my back with a rope.,強盗は私の手をロープで後ろ手に縛りました。
44,You should make as much effort as possible in whatever you do.,何をするにしても、できる限りの努力をすべきです。
45,We insist that this project be carried out immediately.,私たちはこのプロジェクトが即座に実行されることを主張します。
46,This is the picture i took in his house.,これは彼の家で私が撮った写真です。
47,Could you give this data a final check for me.,このデータを最後にチェックしてもらえますか？
48,The thief ran away at the sight of a policeman.,泥棒は警官を見て逃げ出しました。
49,This medicine must not be placed within reach of children.,この薬は子供の手の届かないところに置かなければなりません。
50,It is very important to consider the cultural background of the family.,その家族の文化的背景を考慮することは非常に重要です。
51,This is the place where she works as a secretary.,ここは彼女が秘書として働いている場所です。
52,Bill has a part-time job so that he can buy a car.,ビルは車を買うためにアルバイトをしています。
53,You should pay more attention to what he says.,彼の言うことにもっと注意を払うべきです。
54,All the dinner had been eaten before he came.,彼が来る前に夕食はすべて食べられてしまっていました。
55,I can't put up with that noise any longer.,あの騒音にはもうこれ以上耐えられません。
56,I will have to get rid of this worn-out carpet.,この使い古したカーペットを処分しなければなりません。
57,The number of students going abroad to study is increasing each year.,海外留学する学生の数は年々増加しています。
58,Please fill out this questionnaire and send it to us.,このアンケートに記入して私たちに送ってください。
59,Direct marketing is a means of allowing people to shop from home.,ダイレクトマーケティングは、人々が自宅で買い物をするための手段です。
60,Mary is so nice a girl that she is loved by everybody.,メアリーはとても良い子なので、みんなに愛されています。
61,I can't study anywhere in my house it's too noisy.,家のどこにいても勉強できません。うるさすぎるのです。
62,You should make sure of the facts before you write something.,何かを書く前に、事実を確認すべきです。
63,The post office is a good five kilometers away from here.,郵便局はここからたっぷり5キロは離れています。
64,That might be the most painful experience in my life.,それは私の人生で最も苦痛な経験かもしれません。
65,Please pick me up at the airport at five.,5時に空港へ迎えに来てください。
66,It's next to impossible to finish it in a day.,それを一日で終えるのは、ほぼ不可能です。
67,When we were on the brink of starvation they saved our lives.,私たちが餓死の寸前だったとき、彼らは命を救ってくれました。
68,This medicine properly used will do you a lot of good.,この薬を適切に使えば、非常によく効くでしょう。
69,Bob plays not only the guitar but also the flute.,ボブはギターだけでなくフルートも演奏します。
70,It is up to you to finish the task.,その仕事を終えるのはあなた次第です。
71,I knew it's sudden but this is an important opportunity.,急なことだとはわかっていますが、これは重要な機会です。
72,I can't figure out why you don't like jazz.,なぜあなたがジャズを嫌いなのか理解できません。
73,If it were not for air and water nothing could live.,もし空気と水がなければ、何も生きられないでしょう。
74,Not only bill but also steve is crazy about computers.,ビルだけでなくスティーブもコンピュータに夢中です。
75,Tell those people to back off so that the helicopter can land.,ヘリコプターが着陸できるように、あの人たちに下がるよう伝えてください。
76,Excuse me but will you show me the way to the station.,すみませんが、駅への道を教えていただけますか？
77,Let's put in a lot of time on that project.,そのプロジェクトに多くの時間を割きましょう。
78,I went through my money in a very short time.,短期間でお金を使い果たしてしまいました。
79,You should especially not drink on an empty stomach.,特に空腹時にはお酒を飲まないほうがいいです。
80,Indeed he is young but he is well experienced for his age.,確かに彼は若いですが、年の割に経験豊富です。
81,Try as you may you can't do it in a day.,どんなに頑張っても、それを一日でやることはできません。
82,I'm sorry but i don't feel like going out today.,すみませんが、今日は外出する気分ではありません。
83,Would you like to turn it down a little.,少し（音などを）下げてもらえますか？
84,I will try to solve the problem at any rate.,とにかく、その問題を解決しようと努めます。
85,My year in africa was a very educational experience in many ways.,アフリカでの一年は、多くの意味で非常に教育的な経験でした。
86,How would you like to join the dance club.,ダンス部に入りませんか？
87,Would you like to make friends with that man.,あの男性と友達になりたいですか？
88,The house stood out because of its unusual shape.,その家は珍しい形をしていたので目立っていました。
89,I met with an old friend of mine at the station.,駅で旧友に会いました。
90,Would you show me a less expensive camera than this one.,これよりも安いカメラを見せていただけますか？
91,Lincoln is one of the greatest figures in american history.,リンカーンはアメリカ史上最も偉大な人物の一人です。
92,There are many kinds of animals inside this enclosure.,この囲いの中には多くの種類の動物がいます。
93,To everyone's astonishment mike won first prize in the speech contest.,驚いたことに、マイクがスピーチコンテストで優勝しました。
94,The boy can handle a knife and fork very well.,その少年はナイフとフォークをとても上手に扱えます。
95,Let's take advantage of the vacation to mow the lawn.,休暇を利用して芝生を刈りましょう。
96,While i understand what you say i can't agree with you.,あなたの言うことはわかりますが、同意はできません。
97,He may be clever but he often makes careless mistakes.,彼は賢いかもしれませんが、よく不注意な間違いをします。
98,Do you think you can make out the list in an hour.,一時間でリストを作成できると思いますか？
99,What do you do with your clothes when they are worn out.,服がボロボロになったらどうしますか？
100,12 people are to appear in court in manchester.,12人がマンチェスターの裁判所に出廷することになっています。
101,It'll take me a long time to get over my cold.,風邪を治すのに長い時間がかかりそうです。
102,The cat went through a gap in the fence.,猫がフェンスの隙間を通り抜けました。
103,You are certain to be moved deeply by the movie.,あなたはその映画に深く感動するに違いありません。
104,If i had known it i would have told it to you.,もしそれを知っていたら、あなたに話していたのに。
105,This factory can turn out 200 cars a day.,この工場は一日200台の車を生産できます。
106,I'd like you to put me back on the list.,私をリストに戻してほしいのです。
107,The mother told her daughter to do it herself.,母親は娘に自分でやるように言いました。
108,You make mistakes if you do things in a hurry.,急いで物事をやると間違いを犯しますよ。
109,After i locked all the doors i went to bed.,すべてのドアに鍵をかけた後、寝ました。
110,What's the best way for me to get a passport.,パスポートを取得する最善の方法は何ですか？
111,Cassette tapes seem to have given way to compact disks in popularity.,カセットテープの人気はコンパクトディスクに取って代わられたようです。
112,I had no idea it would put you to so much trouble.,それがあなたにそんなにお手数をおかけするとは思いもしませんでした。
113,I imagine that you are wondering when your new pc will arrive.,新しいPCがいつ届くのかと思っていることでしょう。
114,You must not park the car in this street.,この通りに車を停めてはいけません。
115,I'd like to know when you can send it out.,いつそれを発送できるか知りたいです。
116,You should eat more or you won't get well soon.,もっと食べないと、すぐには良くなりませんよ。
117,The plant ranges from the north of europe to the south.,その植物はヨーロッパの北部から南部にかけて分布しています。
118,I admit this may not be the best way of doing it.,これが最善の方法ではないかもしれないことは認めます。
119,The musician is enjoying great popularity both in uk and in us.,そのミュージシャンは英米両国で非常に人気があります。
120,The witnesses were able to refute the false testimony of the suspect.,目撃者たちは容疑者の虚偽の証言を論破することができました。
121,That work will be finished at the end of this week.,その仕事は今週末に終わる予定です。
122,In spite of the rain the game was not cancelled.,雨にもかかわらず、試合は中止されませんでした。
123,Our captain got sick so i attended the meeting in his place.,キャプテンが病気になったので、代わりに私が会議に出席しました。
124,I must apologize to you for breaking the vase.,花瓶を割ったことを謝らなければなりません。
125,He came in and asked for a cup of coffee.,彼は中に入ってきてコーヒーを一杯注文しました。
126,At any rate i must finish this work by tomorrow.,とにかく明日までにこの仕事を終わらせなければなりません。
127,The hen was sitting on the eggs in the nest.,雌鶏が巣の中で卵を抱いていました。
128,If i were to be born again i would be a musician.,もし生まれ変わるなら、ミュージシャンになりたいです。
129,It's really hard to drive on the bumpy roads around here.,この辺りのデコボコ道を運転するのは本当に大変です。
130,It is difficult for foreign students to speak english well.,留学生が英語を上手に話すのは難しいことです。
131,We had a good deal of snow last winter.,昨年の冬はかなりの雪が降りました。
132,I like it better now that i'm used to it.,慣れてきたので、今のほうが好きです。
133,The rapid growth of the firm was attributed to its unique strategy.,その会社の急成長は独自の戦略によるものでした。
134,That plan will probably fail in the long run.,結局のところ、その計画はおそらく失敗するでしょう。
135,With more courage i might have proposed to marry.,もっと勇気があれば、プロポーズしたかもしれません。
136,It is an hour's drive from here to there.,ここからあそこまで車で一時間です。
137,If you care to you may come with us.,よろしければ、私たちと一緒に来てもいいですよ。
138,The summit nations put free trade at the top of the agenda.,サミット参加国は自由貿易を最優先課題に掲げました。
139,I must start no matter how heavily it snows.,どんなに雪が激しく降っても、出発しなければなりません。
140,Just a moment i haven't made up my mind.,ちょっと待ってください、まだ決めていません。
141,I will be glad if i can serve you in any way.,何らかの形でお役に立てれば幸いです。
142,This ship is too big to pass through the canal.,この船は大きすぎて運河を通り抜けられません。
143,The plan was a good one apart from its cost.,費用の面を除けば、その計画は良いものでした。
144,She's intent on going to new york to study fashion.,彼女はファッションを学ぶためにニューヨークへ行くことに熱中しています。
145,She regretted deeply when she looked back on her life.,彼女は自分の人生を振り返ったとき、深く後悔しました。
146,If you had not helped me i would have failed.,もしあなたが助けてくれなかったら、私は失敗していただろう。
147,It's been 10 years since i came to this town.,この町に来てから10年になります。
148,This room is too hot for us to work in.,この部屋は私たちが仕事をするには暑すぎます。
149,I wish i could go to the party with you.,あなたと一緒にパーティーに行ければいいのに。
150,It is easier to sympathize with sorrow than to sympathize with joy.,喜びよりも悲しみに共感するほうが簡単です。
151,The boy lost sight of his mother in the crowd.,少年は人混みの中で母親を見失いました。
152,Last night my house was robbed while i was still awake.,昨夜、私がまだ起きている間に家に泥棒が入りました。
153,No matter what may come i will do my duty.,何が起ころうとも、私は義務を果たします。
154,Common causes of stress are work and human relationships.,ストレスの一般的な原因は仕事と人間関係です。
155,Jim didn't work hard enough so he failed the examination.,ジムは十分に努力しなかったので、試験に落ちました。
156,When you come to paris i'll show you around.,パリに来たら、私が案内してあげましょう。
157,I would rather stay at home than go out.,外出するよりは家にいたいです。
158,Judging from his accent he must be from texas.,彼のアクセントから判断すると、テキサス出身に違いありません。
159,The woman to whom you were talking is my sister.,あなたが話していた女性は私の姉です。
160,Now i would like you to imagine a map of great britain.,さて、イギリスの地図を想像してみてほしいのです。
161,Should he be given another chance he would do his best.,もし彼にもう一度チャンスが与えられたら、彼は全力を尽くすでしょう。
162,If anything the economy in our country is going up.,どちらかといえば、我が国の経済は上向きです。
163,We need to recognize it in order to strengthen our business activities.,事業活動を強化するために、それを認識する必要があります。
164,I must keep a secret with regard to the fact.,その事実に関しては秘密を守らなければなりません。
165,This is the worst movie i have ever seen.,これは今まで見た中で最悪の映画です。
166,After running up the hill i was completely out of breath.,丘を駆け上がった後、私は完全に息が切れていました。
167,It is bad of me to have kept you waiting so long.,こんなに長くお待たせしてしまって、申し訳ありません。
168,The street lined with trees provided a vista of the sea.,並木道からは海の景色が見渡せました。
169,The loss of money made it impossible for him to go abroad.,お金を失ったため、彼は海外へ行くことができなくなりました。
170,If it's not too much trouble i would like some help.,あまりお手数でなければ、助けていただきたいです。
171,Regarding the matter of house rent i have come to terms with him.,家賃の件に関しては、彼と折り合いがつきました。
172,The population of wellington is only about 1/40th that of tokyo.,ウェリントンの人口は東京の約40分の1にすぎません。
173,You'll learn how to do it sooner or later.,遅かれ早かれ、やり方は覚えますよ。
174,If they don't have a car they'll come by taxi.,車がないなら、彼らはタクシーで来るでしょう。
175,Dr smith is the most knowledgeable expert in that subject.,スミス博士はその分野で最も知識のある専門家です。
176,We were quite at a loss which way to go.,私たちはどちらの道へ行くべきか、すっかり途方に暮れていました。
177,Since then he had put his whole soul into his work.,それ以来、彼は仕事に魂を注いできました。
178,The track meet was called off on account of the heavy rain.,激しい雨のため、陸上競技大会は中止されました。
179,John has hardly ever gone to bed before midnight.,ジョンは深夜前に寝たことがほとんどありません。
180,This is the key which i have been looking for.,これが私が探していた鍵です。
181,I think i have to begin working on my homework.,宿題に取り掛からなければならないと思います。
182,Didn't you know that he passed away two years ago.,彼が2年前に亡くなったのを知らなかったのですか？
183,Jane is something of an authority on the subject.,ジェーンはその分野でちょっとした権威です。
184,He would sooner die than work for that man.,彼はあの男の下で働くくらいなら死んだほうがマシだと思っています。
185,Why on earth did you give him such a name.,一体全体なぜ彼にそんな名前をつけたのですか？
186,This novel is by far more interesting than that one.,この小説はあの小説よりもはるかに面白いです。
187,You may well say so but i cannot agree.,あなたがそう言うのももっともですが、私は同意できません。
188,It's a pity that tim has no sense of humor.,ティムにユーモアのセンスがないのは残念です。
189,On arriving at the station i called a friend of mine.,駅に到着するとすぐに友人に電話しました。
190,The more we learn the better we realize our ignorance.,学べば学ぶほど、自分の無知に気づかされます。
191,I am sending a copy of my letter to you.,私の手紙のコピーをあなたに送ります。
192,The air is bad here will you open the window.,ここの空気は悪いので、窓を開けていただけますか？
193,In another six months you will be able to speak german fluently.,あと半年もすれば、ドイツ語を流暢に話せるようになるでしょう。
194,Not all my classmates like the food in the cafeteria.,クラスメート全員が食堂の食べ物を好きなわけではありません。
195,What must be done if the plan proves unworkable.,計画が実行不可能だと判明したら、どうすべきですか？
196,They say that the movie is an interesting one.,その映画は面白いと言われています。
197,You shall not have your own way in everything.,すべてにおいて自分の思い通りになるわけではありません。
198,This is just what i have been looking for so long.,これこそが私がずっと探していたものです。
199,Could you put this report into italian for me.,このレポートをイタリア語に訳してもらえますか？
200,Would you mind writing it down on this piece of paper.,この紙に書き留めていただけますか？
201,You can see the roof of the house from there.,あそこからその家の屋根が見えます。
202,Our sales campaign is successful in a big way.,私たちの販売キャンペーンは大成功しています。
203,This camel is so tame that anyone can ride it.,このラクダはとても人懐っこいので、誰でも乗ることができます。
204,If it rains tomorrow the baseball game will be put off.,明日雨が降れば、野球の試合は延期されます。
205,Is this what you've wanted for a long time.,これがあなたがずっと欲しかったものですか？
206,Thank you for coming all the way in this rain.,この雨の中、わざわざ来てくださってありがとうございます。
207,I want this work completed by two o'clock tomorrow afternoon.,この仕事を明日午後2時までに終わらせてほしいです。
208,Is there anything else you want me to do.,他に私にやってほしいことはありますか？
209,I may as well go out then stay at home.,家にいるくらいなら外出したほうがマシです。
210,Chris bought her a present and bravely gave it to her.,クリスは彼女にプレゼントを買い、勇気を出して渡しました。
211,Written in simple english this book is easy to read.,簡単な英語で書かれているので、この本は読みやすいです。
212,This is the pipeline which supplies the town with gasoline.,これは町にガソリンを供給するパイプラインです。
213,I had to pay the bill to the tune of ten dollars.,10ドルという額の請求を支払わなければなりませんでした。
214,He looked as if he knew all about it.,彼はまるでそれをすべて知っているかのような顔をしていました。
215,That's the same story as i heard when i was a child.,それは私が子供の頃に聞いたのと同じ話です。
216,Geometry about which i know nothing seems like a very dull subject.,何も知らない幾何学は、とても退屈な科目に思えます。
217,That scandal will be known to everybody in the course of time.,そのスキャンダルはやがて皆に知られることになるでしょう。
218,If you buy this i will give you a fifteen percent discount.,これを買ってくれたら、15％割引します。
219,We can communicate with each other in many ways.,私たちは多くの方法でお互いに意思疎通ができます。
220,The ladies funeral was held at the local church.,その女性の葬儀は地元の教会で行われました。
221,We had much difficulty in finding the bus stop.,バス停を見つけるのに非常に苦労しました。
222,If anything my new job is harder than my old one.,どちらかといえば、新しい仕事のほうが前のより大変です。
223,Every one of us will have to accept the current of the times.,私たち一人一人が時代の流れを受け入れなければならないでしょう。
224,The latest issue of the magazine will come out next monday.,その雑誌の最新号は来週月曜日に発売されます。
225,This stone was so heavy that i could not lift it.,この石はとても重くて持ち上げられませんでした。
226,I couldn't help overhearing what you said about an orchestra.,オーケストラについてのあなたの話が、つい聞こえてしまいました。
227,You must work hard if you are to succeed.,成功するつもりなら、一生懸命働かなければなりません。
228,We ought to have phoned ahead and reserved a table.,前もって電話して席を予約しておくべきでした。
229,35 points and then bottomed out.,35ポイントで底を打ちました。
230,This is the castle which we visited last week.,これが私たちが先週訪れた城です。
231,Why didn't you tell it to me in advance.,なぜ前もって私に言ってくれなかったのですか？
232,This dog is trained to save people in the mountains.,この犬は山で人々を救助するために訓練されています。
233,Do you have a number where we can contact you.,連絡の取れる番号はありますか？
234,Look at the cute little baby sleeping in the cradle.,揺りかごで眠っている可愛い赤ちゃんを見てください。
235,Please let me off on this side of that traffic light.,あの信号の手前で降ろしてください。
236,Arriving at the station i found the train had already left.,駅に着くと、列車は既に出発していました。
237,Our plan will call for a lot of money.,私たちの計画には多額の資金が必要になります。
238,My computer has got to be useful for something.,私のコンピュータは何かに役立つはずです。
239,I want to study abroad even if my parents are against it.,たとえ親が反対しても、私は海外留学したいです。
240,She became scared when she noticed the man following her.,男が自分をつけていることに気づき、彼女は怖くなりました。
241,I'm sorry but i didn't catch what you said.,すみませんが、おっしゃったことが聞き取れませんでした。
242,Just wandering around can be a good way to travel.,ただぶらぶら歩き回るのも、良い旅の方法かもしれません。
243,Some people look down on others because they have less money.,お金が少ないという理由で他人を見下す人もいます。
244,What is still better is that the house has a beautiful garden.,さらに良いことに、その家には美しい庭があります。
245,If you want a hotel look it's just down there.,ホテルをお探しなら、すぐそこにありますよ。
246,I sit at the other end of the room.,私は部屋の反対側の端に座っています。
247,You must come to the party by all means.,何としてもパーティーに来てくださいね。
248,The man standing by the door is a famous singer.,ドアのそばに立っている男性は有名な歌手です。
249,The teacher speaks good french not to mention english.,その先生は英語はもちろんのこと、フランス語も上手に話します。
250,You should put something in your stomach before you go.,出かける前に何かお腹に入れておいたほうがいいですよ。
251,Entering the room i found her playing the piano.,部屋に入ると、彼女がピアノを弾いていました。
252,Although it is a very difficult task i will do my best.,非常に困難な仕事ですが、全力を尽くします。
253,I'm tied up with a project that is due friday.,金曜締め切りのプロジェクトで手がいっぱいです。
254,The brave fireman rescued a boy from the burning house.,勇敢な消防士が燃える家から少年を救出しました。
255,He waved his hand to whomever he saw.,彼は見かける人誰にでも手を振りました。
256,Those brothers are both over six feet in height.,あの兄弟は二人とも身長が6フィート以上あります。
257,This is the very camera i've wanted for a long time.,これこそが私がずっと欲しかったカメラです。
258,Those present at the concert were surprised by his performance.,コンサートの出席者たちは彼の演奏に驚きました。
259,If anything goes wrong i'll answer for the consequences.,もし何か不手際があれば、私が責任を負います。
260,I'd like to spend my holidays reading history books or classics.,休暇は歴史の本や古典を読んで過ごしたいです。
261,This tree is the tallest and oldest in the forest.,この木は森の中で最も高く、最も古いです。
262,The official was suspected of accepting bribes from the construction companies.,その役人は建設会社から賄賂を受け取った疑いを持たれました。
263,Our views are in agreement with theirs as to the essential points.,私たちの見解は、本質的な点において彼らと一致しています。
264,A boy sleeping in bed seems to be an angel.,ベッドで眠っている少年は天使のようです。
265,These jeans feel too tight may i try on another size.,このジーンズはきつすぎます。別のサイズを試着してもいいですか？
266,Look the word up for yourself in the dictionary.,辞書でその単語を自分で調べなさい。
267,We work on every day of the week except sunday.,日曜日を除いて毎日働いています。
268,I think i will have one more ice cream cone.,アイスクリームをもう一つ食べようかな。
269,I don't want to put her to even a small inconvenience.,彼女にわずかな不便もかけたくありません。
270,While i was waiting for our bus the rain stopped.,バスを待っている間に雨が止みました。
271,This country has an even temperature throughout the year.,この国は一年を通じて気温が一定です。
272,Ken makes it a rule to get up early.,ケンは早起きすることにしています。
273,It is difficult to finish the work in a day.,その仕事を一日で終えるのは難しいです。
